cnssi-1253_high,800-53r5
,AU-9(5)
,AU-9(7)
,AU-10
,AU-10(1)
,AU-10(2)
,AU-10(3)
,AU-10(4)
,AU-10(5)
,AU-12
,AU-12(1)
,AU-12(2)
,AU-12(3)
,AU-12(4)
,AU-13
,AU-13(1)
,AU-13(2)
,AU-13(3)
,AU-14
,AU-14(1)
,AU-14(2)
,AU-14(3)
,AU-15
,AU-16
,AU-16(1)
,AU-16(2)
,AU-16(3)
,"Table D-4: Assessment, Authorization, and Monitoring (CA) Family"
,CA-2(3)
,CA-3
,CA-3(1)
,CA-3(2)
,CA-3(3)
,CA-3(4)
,CA-3(5)
,CA-3(6)
,CA-3(7)
,CA-4
,CA-5(1)
,CA-6(1)
,CA-6(2)
,CA-7(2)
,CA-8(2)
,CA-9
,CA-9(1)
,Table D-5: Configuration Management (CM) Family
,CM-1
,CM-2
,CM-2(1)
,CM-2(2)
,CM-2(3)
,CM-2(4)
,CM-2(5)
,CM-2(6)
,CM-2(7)
,CM-3
,CM-3(1)
,CM-3(2)
,CM-3(3)
,CM-3(4)
,CM-3(5)
,CM-3(6)
,CM-3(7)
,CM-3(8)
,CM-4
,CM-4(1)
,CM-4(2)
,CM-5
,CM-5(1)
,CM-5(2)
,CM-5(3)
,CM-5(4)
,CM-5(5)
,CM-5(6)
,CM-5(7)
,CM-6
,CM-6(1)
,CM-6(2)
,CM-6(3)
,CM-6(4)
,CM-7
,CM-7(1)
,CM-7(2)
,CM-7(3)
,CM-7(4)
,CM-7(5)
,CM-7(6)
,CM-7(7)
,CM-7(8)
,CM-7(9)
,CM-8
,CM-8(1)
,CM-8(2)
,CM-8(3)
,CM-8(4)
,CM-8(5)
,CM-8(6)
,CM-8(7)
,CM-8(8)
,CM-8(9)
,CM-9
,CM-9(1)
,CM-10
,CM-10(1)
,CM-11
,CM-11(1)
,CM-11(2)
,CM-11(3)
,CM-13
,CM-14
,Table D-6: Contingency Planning (CP) Family
,CP-2(4)
,CP-2(6)
,CP-2(7)
,CP-3(2)
,CP-4(3)
,CP-4(4)
,CP-4(5)
,CP-5
,CP-7(5)
,CP-7(6)
,CP-9(4)
,CP-9(6)
,CP-9(7)
,CP-10(1)
,CP-10(3)
,CP-10(5)
,CP-11
,CP-12
,CP-13
,Table D-7: Identification and Authentication (IA) Family
,IA-1
,IA-2
,IA-2(1)
,IA-2(2)
,IA-2(3)
,IA-2(4)
,IA-2(5)
,IA-2(6)
,IA-2(7)
,IA-2(8)
,IA-2(9)
,IA-2(10)
,IA-2(11)
,IA-2(12)
,IA-2(13)
,IA-3
,IA-3(1)
,IA-3(2)
,IA-3(3)
,IA-3(4)
,IA-4
,IA-4(1)
,IA-4(2)
,IA-4(3)
,IA-4(4)
,IA-4(5)
,IA-4(6)
,IA-4(7)
,IA-4(8)
,IA-4(9)
,IA-5
,IA-5(1)
,IA-5(2)
,IA-5(3)
,IA-5(4)
,IA-5(5)
,IA-5(6)
,IA-5(7)
,IA-5(8)
,IA-5(9)
,IA-5(10)
,IA-5(11)
,IA-5(12)
,IA-5(13)
,IA-5(14)
,IA-5(15)
,IA-5(16)
,IA-5(17)
,IA-5(18)
,IA-6
,IA-7
,IA-8
,IA-8(1)
,IA-8(2)
,IA-8(3)
,IA-8(4)
,IA-8(5)
,IA-8(6)
,IA-9
,IA-9(1)
,IA-9(2)
,IA-10
,IA-11
,IA-12
,IA-12(1)
,IA-12(2)
,IA-12(3)
,IA-12(4)
,IA-12(5)
,IA-12(6)
,Table D-8: Incident Response (IR) Family
,IR-2(3)
,IR-3(1)
,IR-3(3)
,IR-4(2)
,IR-4(5)
,IR-4(9)
,IR-4(15)
,IR-8(1)
,IR-9
,IR-9(1)
,IR-9(2)
,IR-9(4)
,IR-10
,Table D-9: Maintenance (MA) Family
,MA-2(1)
,MA-3
,MA-3(1)
,MA-3(2)
,MA-3(3)
,MA-3(4)
,MA-3(5)
,MA-3(6)
,MA-4
,MA-4(1)
,MA-4(2)
,MA-4(3)
,MA-4(4)
,MA-4(5)
,MA-4(6)
,MA-4(7)
,MA-5(2)
,MA-5(3)
,MA-5(4)
,MA-5(5)
,MA-6(2)
,MA-6(3)
,MA-7
,Table D-10: Media Protection (MP) Family
,MP-1
,MP-2
,MP-2(1)
,MP-2(2)
,MP-3
,MP-4
,MP-4(1)
,MP-4(2)
,MP-5
,MP-5(1)
,MP-5(2)
,MP-5(3)
,MP-5(4)
,MP-6
,MP-6(1)
,MP-6(2)
,MP-6(3)
,MP-6(4)
,MP-6(5)
,MP-6(6)
,MP-6(7)
,MP-6(8)
,MP-7
,MP-7(1)
,MP-7(2)
,MP-8
,MP-8(1)
,MP-8(2)
,MP-8(3)
,MP-8(4)
,Table D-11: Physical and Environmental Protection (PE) Family
,PE-2(1)
,PE-2(2)
,PE-2(3)
,PE-3(1)
,PE-3(2)
,PE-3(3)
,PE-3(4)
,PE-3(5)
,PE-3(6)
,PE-3(7)
,PE-3(8)
,PE-4
,PE-5
,PE-5(1)
,PE-5(2)
,PE-5(3)
,PE-6(2)
,PE-6(3)
,PE-7
,PE-8(2)
,PE-8(3)
,PE-9(1)
,PE-9(2)
,PE-10(1)
,PE-11(2)
,PE-12(1)
,PE-13(3)
,PE-14(1)
,PE-14(2)
,PE-18(1)
,PE-19
,PE-19(1)
,PE-20
,PE-21
,PE-22
,Table D-12: Planning (PL) Family
,PL-2(1)
,PL-2(2)
,PL-2(3)
,PL-3
,PL-4(1)
,PL-5
,PL-6
,PL-9
,Table D-13: Program Management (PM) Family
,PM-1
,PM-2
,PM-3
,PM-4
,PM-5
,PM-5(1)
,PM-6
,PM-7
,PM-7(1)
,PM-8
,PM-9
,PM-10
,PM-11
,PM-12
,PM-13
,PM-14
,PM-15
,PM-16
,PM-16(1)
,PM-17
,PM-18
,PM-19
,PM-20
,PM-20(1)
,PM-21
,PM-22
,PM-23
,PM-24
,PM-25
,PM-26
,PM-27
,PM-28
,PM-29
,PM-30
,PM-30(1)
,PM-31
,PM-32
,Table D-14: Personnel Security (PS) Family
,PS-3
,PS-3(1)
,PS-3(2)
,PS-3(3)
,PS-3(4)
,PS-4(1)
,PS-6
,PS-6(1)
,PS-6(2)
,PS-6(3)
,PS-7
,Table D-15: Personally Identifiable Information Processing and Transparency (PT) Family
,PT-1
,PT-2
,PT-2(1)
,PT-2(2)
,PT-3
,PT-3(1)
,PT-3(2)
,PT-4
,PT-4(1)
,PT-4(2)
,PT-4(3)
,PT-5
,PT-5(1)
,PT-5(2)
,PT-6
,PT-6(1)
,PT-6(2)
,PT-7
,PT-7(1)
,PT-7(2)
,PT-8
,Table D-16: Risk Assessment (RA) Family
,RA-2(1)
,RA-3(4)
,RA-4
,RA-5(1)
,RA-5(3)
,RA-5(6)
,RA-5(7)
,RA-5(8)
,RA-5(9)
,RA-6
,RA-8
,Table D-17: System and Services Acquisition (SA) Family
,SA-3(2)
,SA-4(3)
,SA-4(4)
,SA-4(5)
,SA-4(6)
,SA-4(7)
,SA-4(8)
,SA-4(10)
,SA-4(11)
,SA-4(12)
,SA-5(1)
,SA-5(2)
,SA-5(3)
,SA-5(4)
,SA-5(5)
,SA-6
,SA-7
,SA-8(33)
,SA-9(1)
,SA-9(4)
,SA-9(5)
,SA-9(6)
,SA-9(7)
,SA-10
,SA-10(1)
,SA-10(2)
,SA-10(3)
,SA-10(4)
,SA-10(5)
,SA-10(6)
,SA-10(7)
,SA-11(3)
,SA-11(4)
,SA-11(5)
,SA-11(6)
,SA-11(7)
,SA-11(8)
,SA-11(9)
,SA-12
,SA-12(1)
,SA-12(2)
,SA-12(3)
,SA-12(4)
,SA-12(5)
,SA-12(6)
,SA-12(7)
,SA-12(8)
,SA-12(9)
,SA-12(10)
,SA-12(11)
,SA-12(12)
,SA-12(13)
,SA-12(14)
,SA-12(15)
,SA-13
,SA-14
,SA-14(1)
,SA-15(1)
,SA-15(2)
,SA-15(4)
,SA-15(5)
,SA-15(6)
,SA-15(7)
,SA-15(8)
,SA-15(9)
,SA-15(10)
,SA-15(11)
,SA-15(12)
,SA-17(1)
,SA-17(2)
,SA-17(3)
,SA-17(4)
,SA-17(5)
,SA-17(6)
,SA-17(7)
,SA-17(8)
,SA-17(9)
,SA-18
,SA-18(1)
,SA-18(2)
,SA-19
,SA-19(1)
,SA-19(2)
,SA-19(3)
,SA-19(4)
,SA-20
,SA-21(1)
,SA-22(1)
,SA-23
,Table D-18: System and Communications Protection (SC) Family
,SC-2
,SC-2(1)
,SC-2(2)
,SC-3
,SC-3(1)
,SC-3(2)
,SC-3(3)
,SC-3(4)
,SC-3(5)
,SC-4
,SC-4(1)
,SC-4(2)
,SC-6
,SC-7
,SC-7(1)
,SC-7(2)
,SC-7(3)
,SC-7(4)
,SC-7(5)
,SC-7(6)
,SC-7(7)
,SC-7(8)
,SC-7(9)
,SC-7(10)
,SC-7(11)
,SC-7(13)
,SC-7(14)
,SC-7(15)
,SC-7(16)
,SC-7(17)
,SC-7(19)
,SC-7(20)
,SC-7(21)
,SC-7(22)
,SC-7(23)
,SC-7(24)
,SC-7(25)
,SC-7(26)
,SC-7(27)
,SC-7(28)
,SC-7(29)
,SC-8
,SC-8(1)
,SC-8(2)
,SC-8(3)
,SC-8(4)
,SC-8(5)
,SC-9
,SC-10
,SC-11
,SC-11(1)
,SC-12
,SC-12(2)
,SC-12(3)
,SC-12(4)
,SC-12(5)
,SC-12(6)
,SC-13
,SC-13(1)
,SC-13(2)
,SC-13(3)
,SC-13(4)
,SC-14
,SC-15
,SC-15(1)
,SC-15(2)
,SC-15(3)
,SC-15(4)
,SC-16
,SC-16(1)
,SC-16(2)
,SC-16(3)
,SC-17
,SC-18
,SC-18(1)
,SC-18(2)
,
,SC-18(3)
,
,SC-18(4)
,SC-18(5)
,SC-19
,SC-20
,SC-20(1)
,SC-20(2)
,SC-21
,SC-21(1)
,SC-23
,SC-23(1)
,SC-23(2)
,SC-23(3)
,SC-23(4)
,SC-23(5)
,SC-24
,SC-25
,SC-26
,SC-26(1)
,SC-27
,SC-28
,SC-28(1)
,SC-28(2)
,SC-28(3)
,SC-29
,SC-29(1)
,SC-30
,SC-30(1)
,SC-30(2)
,SC-30(3)
,SC-30(4)
,SC-30(5)
,SC-31
,SC-31(1)
,SC-31(2)
,SC-31(3)
,SC-32
,SC-32(1)
,SC-33
,SC-34
,SC-34(1)
,SC-34(2)
,SC-34(3)
,SC-35
,SC-36
,SC-36(1)
,SC-36(2)
,SC-37
,SC-37(1)
,SC-39
,SC-39(1)
,SC-39(2)
,SC-40
,SC-40(1)
,SC-40(2)
,SC-40(3)
,SC-40(4)
,SC-42
,SC-42(1)
,SC-42(2)
,SC-42(3)
,SC-42(4)
,SC-42(5)
,SC-43
,SC-44
,SC-45
,SC-45(1)
,SC-45(2)
,SC-46
,SC-48
,SC-48(1)
,SC-49
,SC-50
,SC-51
,Table D-19: System and Information Integrity (SI) Family
,SI-2
,SI-2(1)
,SI-2(2)
,SI-2(3)
,SI-2(4)
,SI-2(5)
,SI-2(6)
,SI-3
,SI-3(1)
,SI-3(2)
,SI-3(3)
,SI-3(4)
,SI-3(5)
,SI-3(6)
,SI-3(7)
,SI-3(8)
,SI-3(9)
,SI-3(10)
,SI-4(3)
,SI-4(6)
,SI-4(7)
,SI-4(8)
,SI-4(9)
,SI-4(13)
,SI-4(17)
,SI-4(18)
,SI-4(21)
,SI-5
,SI-5(1)
,SI-6
,SI-6(1)
,SI-6(2)
,SI-6(3)
,SI-7
,SI-7(1)
,SI-7(2)
,SI-7(3)
,SI-7(4)
,SI-7(5)
,SI-7(6)
,SI-7(7)
,SI-7(8)
,SI-7(9)
,SI-7(10)
,SI-7(11)
,SI-7(12)
,SI-7(13)
,SI-7(14)
,SI-7(15)
,SI-7(16)
,SI-7(17)
,SI-8(1)
,SI-8(3)
,SI-9
,SI-10
,SI-10(1)
,SI-10(2)
,SI-10(3)
,SI-10(4)
,SI-10(5)
,SI-10(6)
,SI-11
,SI-12
,SI-12(1)
,SI-12(2)
,SI-12(3)
,SI-13
,SI-13(1)
,SI-13(2)
,SI-13(3)
,SI-13(4)
,SI-13(5)
,SI-14
,SI-14(1)
,SI-14(2)
,SI-14(3)
,SI-15
,SI-16
,SI-17
,SI-18
,SI-18(1)
,SI-18(2)
,SI-18(3)
,SI-18(4)
,SI-18(5)
,SI-19
,SI-19(1)
,SI-19(2)
,SI-19(3)
,SI-19(4)
,SI-19(5)
,SI-19(6)
,SI-19(7)
,SI-19(8)
,SI-20
,SI-21
,SI-22
,SI-23
,SR-4(1)
,SR-4(2)
,SR-4(3)
,SR-4(4)
,SR-11(3)
